review_text,rating,date,bank,source,review_id,sentiment_label,sentiment_score
good,5,2025-11-30,CBE,Google Play,1,POSITIVE,0.9998161196708679
CBE ይለያል።,5,2025-11-29,CBE,Google Play,2,POSITIVE,0.9886477589607239
it's special for me,5,2025-11-29,CBE,Google Play,3,POSITIVE,0.9998202919960022
Make it user friendly.,2,2025-11-28,CBE,Google Play,4,POSITIVE,0.9920620918273926
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,5,NEGATIVE,0.9875526428222656
good app,5,2025-11-28,CBE,Google Play,6,POSITIVE,0.9998493194580078
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,7,POSITIVE,0.9984679818153381
why didn't work this app?,1,2025-11-27,CBE,Google Play,8,NEGATIVE,0.9991324543952942
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,9,POSITIVE,0.9996963739395142
this app very bad 👎,1,2025-11-27,CBE,Google Play,10,NEGATIVE,0.9997968077659607
the most advanced app. but how to stay safe?,5,2025-11-26,CBE,Google Play,11,NEGATIVE,0.9565094709396362
Good application,4,2025-11-26,CBE,Google Play,12,POSITIVE,0.999854564666748
It is nice app,5,2025-11-26,CBE,Google Play,13,POSITIVE,0.9998478889465332
best,5,2025-11-25,CBE,Google Play,14,POSITIVE,0.9997941851615906
good app,5,2025-11-25,CBE,Google Play,15,POSITIVE,0.9998493194580078
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,16,NEGATIVE,0.9993435740470886
nice app...,5,2025-11-24,CBE,Google Play,17,POSITIVE,0.9997116923332214
very good banking service and fast service,5,2025-11-24,CBE,Google Play,18,POSITIVE,0.9998499155044556
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,19,POSITIVE,0.9971639513969421
good,5,2025-11-24,CBE,Google Play,20,POSITIVE,0.9998161196708679
why we can't send money to other people telebirr wallets??,1,2025-11-23,CBE,Google Play,21,NEGATIVE,0.9984826445579529
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,22,NEGATIVE,0.9856644868850708
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,23,NEGATIVE,0.8832131028175354
wow,5,2025-11-23,CBE,Google Play,24,POSITIVE,0.999592125415802
good,5,2025-11-22,CBE,Google Play,25,POSITIVE,0.9998161196708679
