review_text,rating,date,bank,source,review_id,sentiment_label,sentiment_score,theme
good,5,2025-11-30,CBE,Google Play,1,POSITIVE,0.999816119670868,Other
CBE ይለያል።,5,2025-11-29,CBE,Google Play,2,POSITIVE,0.988647758960724,Other
it's special for me,5,2025-11-29,CBE,Google Play,3,POSITIVE,0.9998202919960022,Other
Make it user friendly.,2,2025-11-28,CBE,Google Play,4,POSITIVE,0.9920620918273926,User Interface & Experience
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,5,NEGATIVE,0.9875526428222656,Transaction Performance
good app,5,2025-11-28,CBE,Google Play,6,POSITIVE,0.9998493194580078,Other
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,7,POSITIVE,0.998467981815338,Transaction Performance
why didn't work this app?,1,2025-11-27,CBE,Google Play,8,NEGATIVE,0.9991324543952942,Account Access Issues
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,9,POSITIVE,0.9996963739395142,Other
this app very bad 👎,1,2025-11-27,CBE,Google Play,10,NEGATIVE,0.9997968077659608,Other
the most advanced app. but how to stay safe?,5,2025-11-26,CBE,Google Play,11,NEGATIVE,0.9565094709396362,Other
Good application,4,2025-11-26,CBE,Google Play,12,POSITIVE,0.999854564666748,Other
It is nice app,5,2025-11-26,CBE,Google Play,13,POSITIVE,0.9998478889465332,Other
best,5,2025-11-25,CBE,Google Play,14,POSITIVE,0.9997941851615906,Other
good app,5,2025-11-25,CBE,Google Play,15,POSITIVE,0.9998493194580078,Other
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,16,NEGATIVE,0.9993435740470886,Account Access Issues
nice app...,5,2025-11-24,CBE,Google Play,17,POSITIVE,0.9997116923332214,Other
very good banking service and fast service,5,2025-11-24,CBE,Google Play,18,POSITIVE,0.9998499155044556,Transaction Performance
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,19,POSITIVE,0.997163951396942,Customer Support
good,5,2025-11-24,CBE,Google Play,20,POSITIVE,0.999816119670868,Other
why we can't send money to other people telebirr wallets??,1,2025-11-23,CBE,Google Play,21,NEGATIVE,0.9984826445579528,Transaction Performance
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,22,NEGATIVE,0.9856644868850708,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,23,NEGATIVE,0.8832131028175354,Other
wow,5,2025-11-23,CBE,Google Play,24,POSITIVE,0.999592125415802,Other
good,5,2025-11-22,CBE,Google Play,25,POSITIVE,0.999816119670868,Other
nice,5,2025-11-22,CBE,Google Play,26,POSITIVE,0.9998552799224854,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,27,NEGATIVE,0.9818922877311708,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,28,POSITIVE,0.9998483657836914,Other
excellent,5,2025-11-22,CBE,Google Play,29,POSITIVE,0.9998434782028198,Other
good,5,2025-11-21,CBE,Google Play,30,POSITIVE,0.999816119670868,Other
ዳጊ,5,2025-11-21,CBE,Google Play,31,NEGATIVE,0.6970565915107727,Other
absolutely right,5,2025-11-21,CBE,Google Play,32,POSITIVE,0.9998525381088256,Other
good app,5,2025-11-21,CBE,Google Play,33,POSITIVE,0.9998493194580078,Other
mid application it's so annoying,3,2025-11-20,CBE,Google Play,34,NEGATIVE,0.9997883439064026,Account Access Issues
I used morethan one year,4,2025-11-20,CBE,Google Play,35,NEGATIVE,0.9802079796791076,Other
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,36,NEGATIVE,0.9920698404312134,Other
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,37,POSITIVE,0.9998750686645508,Other
Nice,5,2025-11-19,CBE,Google Play,38,POSITIVE,0.9998552799224854,Other
suckkkks,1,2025-11-19,CBE,Google Play,39,NEGATIVE,0.9737536311149596,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,40,NEGATIVE,0.9991471767425536,Transaction Performance
I love you this app,5,2025-11-18,CBE,Google Play,41,POSITIVE,0.9998642206192015,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-18,CBE,Google Play,42,POSITIVE,0.9993645548820496,Account Access Issues
make life easy,5,2025-11-18,CBE,Google Play,43,POSITIVE,0.999527096748352,User Interface & Experience
securr,5,2025-11-18,CBE,Google Play,44,NEGATIVE,0.989194393157959,Other
My most optional bank,5,2025-11-17,CBE,Google Play,45,POSITIVE,0.7555266618728638,Feature Requests
5 star,5,2025-11-16,CBE,Google Play,46,POSITIVE,0.9964116215705872,Other
it is fantastic app.,5,2025-11-16,CBE,Google Play,47,POSITIVE,0.9998733997344972,Other
excellent,5,2025-11-16,CBE,Google Play,48,POSITIVE,0.9998434782028198,Other
sifen,5,2025-11-15,CBE,Google Play,49,NEGATIVE,0.8473550081253052,Other
i like this√,4,2025-11-15,CBE,Google Play,50,POSITIVE,0.9998555183410645,Other
Ok,3,2025-11-15,CBE,Google Play,51,POSITIVE,0.9997851252555848,Other
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,52,NEGATIVE,0.9916301369667052,Account Access Issues
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,53,NEGATIVE,0.9996232986450196,Feature Requests
Like,5,2025-11-13,CBE,Google Play,54,POSITIVE,0.9910564422607422,Other
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,55,POSITIVE,0.999858856201172,Other
good,5,2025-11-12,CBE,Google Play,56,POSITIVE,0.999816119670868,Other
Good,5,2025-11-12,CBE,Google Play,57,POSITIVE,0.999816119670868,Other
Good,5,2025-11-12,CBE,Google Play,58,POSITIVE,0.999816119670868,Other
smart app,4,2025-11-12,CBE,Google Play,59,POSITIVE,0.999789297580719,Other
good App,5,2025-11-12,CBE,Google Play,60,POSITIVE,0.9998493194580078,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,61,NEGATIVE,0.992516815662384,Customer Support
ok,5,2025-11-11,CBE,Google Play,62,POSITIVE,0.9997851252555848,Other
cbe is my choice,4,2025-11-11,CBE,Google Play,63,POSITIVE,0.9987378716468812,Other
Awesome,5,2025-11-11,CBE,Google Play,64,POSITIVE,0.9998682737350464,Other
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,65,NEGATIVE,0.999775230884552,Transaction Performance
Very convenient App,5,2025-11-10,CBE,Google Play,66,POSITIVE,0.994573414325714,Other
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,67,NEGATIVE,0.9832204580307008,Other
good app,5,2025-11-10,CBE,Google Play,68,POSITIVE,0.9998493194580078,Other
wow apk,5,2025-11-10,CBE,Google Play,69,POSITIVE,0.9992477893829346,Other
best 100 %,5,2025-11-10,CBE,Google Play,70,POSITIVE,0.9998010993003844,Other
bad app,1,2025-11-10,CBE,Google Play,71,NEGATIVE,0.9997212290763856,Other
best app,5,2025-11-10,CBE,Google Play,72,POSITIVE,0.999686598777771,Other
wow,5,2025-11-10,CBE,Google Play,73,POSITIVE,0.999592125415802,Other
nice app,5,2025-11-10,CBE,Google Play,74,POSITIVE,0.9998061060905457,Other
bad app,4,2025-11-10,CBE,Google Play,75,NEGATIVE,0.9997212290763856,Other
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,76,POSITIVE,0.8869743943214417,App Reliability
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,77,NEGATIVE,0.9996213912963868,Feature Requests
👌👌,5,2025-11-10,CBE,Google Play,78,NEGATIVE,0.6970565915107727,Other
best 👌,5,2025-11-10,CBE,Google Play,79,POSITIVE,0.9997019171714784,Other
good,4,2025-11-10,CBE,Google Play,80,POSITIVE,0.999816119670868,Other
not Refresh,2,2025-11-09,CBE,Google Play,81,NEGATIVE,0.999051868915558,Other
your statement is not used as wanted,1,2025-11-09,CBE,Google Play,82,NEGATIVE,0.99908447265625,Feature Requests
good very good,5,2025-11-09,CBE,Google Play,83,POSITIVE,0.9998477697372437,Other
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,84,NEGATIVE,0.9997031092643738,Transaction Performance
good app,5,2025-11-08,CBE,Google Play,85,POSITIVE,0.9998493194580078,Other
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,86,NEGATIVE,0.98004812002182,Other
Good !,5,2025-11-08,CBE,Google Play,87,POSITIVE,0.9998268485069276,Other
i like it,5,2025-11-08,CBE,Google Play,88,POSITIVE,0.99985933303833,Other
Very nice app,5,2025-11-08,CBE,Google Play,89,POSITIVE,0.9998562335968018,Other
the app is not functional this week.,4,2025-11-07,CBE,Google Play,90,NEGATIVE,0.9996664524078368,Other
good,5,2025-11-07,CBE,Google Play,91,POSITIVE,0.999816119670868,Other
very updated bank,5,2025-11-05,CBE,Google Play,92,POSITIVE,0.999656081199646,Feature Requests
tankyu,5,2025-11-05,CBE,Google Play,93,POSITIVE,0.8404368162155151,Other
nice,5,2025-11-05,CBE,Google Play,94,POSITIVE,0.9998552799224854,Other
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,95,NEGATIVE,0.986690640449524,Account Access Issues
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,96,NEGATIVE,0.9989122152328492,Account Access Issues
loved it,5,2025-11-05,CBE,Google Play,97,POSITIVE,0.9998797178268432,Other
Ok,1,2025-11-05,CBE,Google Play,98,POSITIVE,0.9997851252555848,Other
this app is not working on my phone,5,2025-11-03,CBE,Google Play,99,NEGATIVE,0.9996734857559204,App Reliability
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,100,NEGATIVE,0.964024543762207,Transaction Performance
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-02,CBE,Google Play,101,NEGATIVE,0.9985938668251038,Account Access Issues
nice,5,2025-11-02,CBE,Google Play,102,POSITIVE,0.9998552799224854,Other
wow 😘😘😘,4,2025-11-02,CBE,Google Play,103,POSITIVE,0.9992976188659668,Other
mobile banking broblem,5,2025-11-01,CBE,Google Play,104,NEGATIVE,0.9918060302734376,Other
good job,5,2025-11-01,CBE,Google Play,105,POSITIVE,0.999835729598999,Other
good,3,2025-10-31,CBE,Google Play,106,POSITIVE,0.999816119670868,Other
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,107,POSITIVE,0.9998574256896972,Other
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,108,NEGATIVE,0.929838240146637,Other
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,109,POSITIVE,0.9998561143875122,Customer Support
niiceh,5,2025-10-29,CBE,Google Play,110,POSITIVE,0.8779535293579102,Other
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,111,POSITIVE,0.9965399503707886,Feature Requests
🤮,1,2025-10-28,CBE,Google Play,112,NEGATIVE,0.6970565915107727,Other
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play,113,POSITIVE,0.9634568691253662,Other
good app,5,2025-10-28,CBE,Google Play,114,POSITIVE,0.9998493194580078,Other
strong,5,2025-10-28,CBE,Google Play,115,POSITIVE,0.999862551689148,Other
good,5,2025-10-28,CBE,Google Play,116,POSITIVE,0.999816119670868,Other
best,5,2025-10-28,CBE,Google Play,117,POSITIVE,0.9997941851615906,Other
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,118,NEUTRAL,0.5422849655151367,Other
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,119,POSITIVE,0.9990962743759156,Feature Requests
good,5,2025-10-27,CBE,Google Play,120,POSITIVE,0.999816119670868,Other
Cbe,5,2025-10-27,CBE,Google Play,121,POSITIVE,0.9966009855270386,Other
Active and granted system,5,2025-10-27,CBE,Google Play,122,POSITIVE,0.998322069644928,Other
fast app,4,2025-10-26,CBE,Google Play,123,POSITIVE,0.9983617663383484,Transaction Performance
cool 😎,5,2025-10-26,CBE,Google Play,124,POSITIVE,0.9997991919517516,Other
Galaxy A10s,3,2025-10-26,CBE,Google Play,125,POSITIVE,0.8983982801437378,Other
the best apps,5,2025-10-26,CBE,Google Play,126,POSITIVE,0.9998617172241212,Other
arif app new,5,2025-10-26,CBE,Google Play,127,NEUTRAL,0.5203981995582581,Feature Requests
laga Bari biranch,5,2025-10-25,CBE,Google Play,128,NEGATIVE,0.9922856092453004,Other
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-25,CBE,Google Play,129,NEGATIVE,0.6970565915107727,Other
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,130,NEGATIVE,0.9949776530265808,Feature Requests
Attractive,5,2025-10-25,CBE,Google Play,131,POSITIVE,0.9998689889907836,Other
mite,5,2025-10-24,CBE,Google Play,132,NEGATIVE,0.996557116508484,Other
useful,5,2025-10-23,CBE,Google Play,133,POSITIVE,0.9997634291648864,Other
nice,4,2025-10-23,CBE,Google Play,134,POSITIVE,0.9998552799224854,Other
"not good, not bad!",3,2025-10-23,CBE,Google Play,135,NEGATIVE,0.9981550574302672,Other
very good,5,2025-10-23,CBE,Google Play,136,POSITIVE,0.9998520612716676,Other
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,137,NEGATIVE,0.9546589255332948,Other
good job,5,2025-10-22,CBE,Google Play,138,POSITIVE,0.999835729598999,Other
imp,5,2025-10-22,CBE,Google Play,139,NEGATIVE,0.9978600144386292,Other
super fast app,5,2025-10-21,CBE,Google Play,140,POSITIVE,0.9976546168327332,Transaction Performance
good app,4,2025-10-20,CBE,Google Play,141,POSITIVE,0.9998493194580078,Other
useful,5,2025-10-20,CBE,Google Play,142,POSITIVE,0.9997634291648864,Other
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-18,CBE,Google Play,143,NEGATIVE,0.998361885547638,Account Access Issues
cbe,4,2025-10-18,CBE,Google Play,144,POSITIVE,0.9966009855270386,Other
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,145,NEGATIVE,0.9991005659103394,Other
blah blah blah,5,2025-10-17,CBE,Google Play,146,NEGATIVE,0.997789978981018,Other
good,5,2025-10-17,CBE,Google Play,147,POSITIVE,0.999816119670868,Other
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,148,NEGATIVE,0.9995405673980712,Other
best,5,2025-10-17,CBE,Google Play,149,POSITIVE,0.9997941851615906,Other
CBE no.1,5,2025-10-17,CBE,Google Play,150,POSITIVE,0.9968194961547852,Other
good,5,2025-10-17,CBE,Google Play,151,POSITIVE,0.999816119670868,Other
good,5,2025-10-16,CBE,Google Play,152,POSITIVE,0.999816119670868,Other
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,153,POSITIVE,0.996988832950592,Feature Requests
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,154,POSITIVE,0.999740183353424,User Interface & Experience
gooof,5,2025-10-16,CBE,Google Play,155,NEGATIVE,0.996545135974884,Other
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,156,NEGATIVE,0.9996702671051024,Customer Support
Best app,5,2025-10-15,CBE,Google Play,157,POSITIVE,0.999686598777771,Other
best,5,2025-10-15,CBE,Google Play,158,POSITIVE,0.9997941851615906,Other
still not perfect like before,1,2025-10-15,CBE,Google Play,159,NEGATIVE,0.9995744824409484,Other
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,160,NEGATIVE,0.9985210299491882,Transaction Performance
APPLIED,1,2025-10-14,CBE,Google Play,161,POSITIVE,0.998971939086914,Other
10 years ago,4,2025-10-14,CBE,Google Play,162,POSITIVE,0.9060004353523254,Other
Asefa Obsa,5,2025-10-14,CBE,Google Play,163,NEGATIVE,0.9988316893577576,Other
best app,4,2025-10-14,CBE,Google Play,164,POSITIVE,0.999686598777771,Other
it's good app,5,2025-10-14,CBE,Google Play,165,POSITIVE,0.9998689889907836,Other
very slow,1,2025-10-14,CBE,Google Play,166,NEGATIVE,0.9997065663337708,Transaction Performance
berhan deriba wami,4,2025-10-13,CBE,Google Play,167,POSITIVE,0.7555697560310364,Other
good,5,2025-10-13,CBE,Google Play,168,POSITIVE,0.999816119670868,Other
mahamad Usman,5,2025-10-13,CBE,Google Play,169,POSITIVE,0.9890894293785096,Other
Erako,5,2025-10-13,CBE,Google Play,170,POSITIVE,0.997822403907776,Other
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,171,NEGATIVE,0.6970565915107727,Other
opne,5,2025-10-13,CBE,Google Play,172,NEGATIVE,0.7972500920295715,Other
mehommd nuri,5,2025-10-13,CBE,Google Play,173,POSITIVE,0.9508018493652344,Other
Best,5,2025-10-12,CBE,Google Play,174,POSITIVE,0.9997941851615906,Other
good,5,2025-10-12,CBE,Google Play,175,POSITIVE,0.999816119670868,Other
