content,score,at,bank,source
good,5,2025-11-30 05:24:48,CBE,Google Play
CBE ይለያል።,5,2025-11-29 06:22:32,CBE,Google Play
it's special for me,5,2025-11-29 04:54:14,CBE,Google Play
Make it user friendly.,2,2025-11-28 21:17:45,CBE,Google Play
maaliif daddafee install gaafata,3,2025-11-28 02:36:32,CBE,Google Play
good app,5,2025-11-28 00:33:17,CBE,Google Play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27 12:08:20,CBE,Google Play
why didn't work this app?,1,2025-11-27 11:40:35,CBE,Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27 07:00:06,CBE,Google Play
this app very bad 👎,1,2025-11-27 05:28:10,CBE,Google Play
the most advanced app. but how to stay safe?,5,2025-11-26 23:03:41,CBE,Google Play
Good application,4,2025-11-26 21:59:12,CBE,Google Play
It is nice app,5,2025-11-26 01:03:18,CBE,Google Play
best,5,2025-11-25 09:27:20,CBE,Google Play
good app,5,2025-11-25 07:10:35,CBE,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 06:14:22,CBE,Google Play
nice app...,5,2025-11-24 23:24:19,CBE,Google Play
very good banking service and fast service,5,2025-11-24 10:09:29,CBE,Google Play
thanks blc this app help me to use all time,5,2025-11-24 03:36:07,CBE,Google Play
good,5,2025-11-24 00:54:09,CBE,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-23 21:44:51,CBE,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23 12:12:04,CBE,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23 09:22:11,CBE,Google Play
wow,5,2025-11-23 04:30:09,CBE,Google Play
good,5,2025-11-22 23:13:39,CBE,Google Play
nice,5,2025-11-22 09:27:39,CBE,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22 02:33:11,CBE,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22 00:51:00,CBE,Google Play
excellent,5,2025-11-22 00:34:12,CBE,Google Play
good,5,2025-11-21 11:11:35,CBE,Google Play
ዳጊ,5,2025-11-21 08:55:17,CBE,Google Play
absolutely right,5,2025-11-21 07:45:37,CBE,Google Play
good app,5,2025-11-21 07:07:17,CBE,Google Play
mid application it's so annoying,3,2025-11-20 07:58:06,CBE,Google Play
I used morethan one year,4,2025-11-20 06:52:03,CBE,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20 05:15:18,CBE,Google Play
"It's great app,I love this app",5,2025-11-20 00:37:22,CBE,Google Play
Nice,5,2025-11-19 12:42:22,CBE,Google Play
suckkkks,1,2025-11-19 08:20:20,CBE,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19 07:51:36,CBE,Google Play
I love you this app,5,2025-11-18 23:09:34,CBE,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-18 21:28:14,CBE,Google Play
make life easy,5,2025-11-18 21:02:38,CBE,Google Play
securr,5,2025-11-18 18:55:07,CBE,Google Play
My most optional bank,5,2025-11-17 07:08:01,CBE,Google Play
5 star,5,2025-11-16 13:43:29,CBE,Google Play
it is fantastic app.,5,2025-11-16 02:14:03,CBE,Google Play
excellent,5,2025-11-16 00:17:05,CBE,Google Play
sifen,5,2025-11-15 22:52:58,CBE,Google Play
i like this√,4,2025-11-15 22:04:39,CBE,Google Play
Ok,3,2025-11-15 16:50:12,CBE,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15 11:07:10,CBE,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15 10:51:01,CBE,Google Play
Like,5,2025-11-13 06:38:49,CBE,Google Play
Nice and very useful app i like it!,5,2025-11-13 02:21:35,CBE,Google Play
good,5,2025-11-12 20:49:44,CBE,Google Play
Good,5,2025-11-12 20:27:48,CBE,Google Play
Good,5,2025-11-12 20:17:55,CBE,Google Play
smart app,4,2025-11-12 10:17:20,CBE,Google Play
good App,5,2025-11-12 08:14:34,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12 03:53:10,CBE,Google Play
ok,5,2025-11-11 08:07:32,CBE,Google Play
cbe is my choice,4,2025-11-11 06:32:56,CBE,Google Play
Awesome,5,2025-11-11 05:02:57,CBE,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11 03:36:29,CBE,Google Play
Very convenient App,5,2025-11-10 21:44:13,CBE,Google Play
excellent but sometimes can not connect,5,2025-11-10 12:20:32,CBE,Google Play
good app,5,2025-11-10 10:55:20,CBE,Google Play
wow apk,5,2025-11-10 10:06:46,CBE,Google Play
best 100 %,5,2025-11-10 07:51:57,CBE,Google Play
bad app,1,2025-11-10 06:32:37,CBE,Google Play
best app,5,2025-11-10 06:12:36,CBE,Google Play
wow,5,2025-11-10 04:46:49,CBE,Google Play
nice app,5,2025-11-10 03:45:31,CBE,Google Play
bad app,4,2025-11-10 03:13:45,CBE,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10 02:21:30,CBE,Google Play
I can't access it properly I think it needs update,1,2025-11-10 01:55:40,CBE,Google Play
👌👌,5,2025-11-10 01:20:01,CBE,Google Play
best 👌,5,2025-11-10 00:30:06,CBE,Google Play
good,4,2025-11-10 00:26:05,CBE,Google Play
not Refresh,2,2025-11-09 23:00:09,CBE,Google Play
your statement is not used as wanted,1,2025-11-09 20:08:16,CBE,Google Play
good very good,5,2025-11-09 09:53:13,CBE,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09 06:24:52,CBE,Google Play
good app,5,2025-11-08 11:20:25,CBE,Google Play
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08 08:23:00,CBE,Google Play
Good !,5,2025-11-08 07:05:49,CBE,Google Play
i like it,5,2025-11-08 05:55:40,CBE,Google Play
Very nice app,5,2025-11-08 05:51:07,CBE,Google Play
the app is not functional this week.,4,2025-11-07 22:47:51,CBE,Google Play
good,5,2025-11-07 04:00:05,CBE,Google Play
very updated bank,5,2025-11-05 13:07:50,CBE,Google Play
tankyu,5,2025-11-05 12:18:44,CBE,Google Play
nice,5,2025-11-05 12:00:22,CBE,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05 10:58:03,CBE,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05 08:04:20,CBE,Google Play
loved it,5,2025-11-05 06:52:08,CBE,Google Play
Ok,1,2025-11-05 00:05:56,CBE,Google Play
this app is not working on my phone,5,2025-11-03 06:59:45,CBE,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03 00:00:51,CBE,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-02 23:43:33,CBE,Google Play
nice,5,2025-11-02 09:01:17,CBE,Google Play
wow 😘😘😘,4,2025-11-02 08:40:51,CBE,Google Play
mobile banking broblem,5,2025-11-01 06:31:06,CBE,Google Play
good job,5,2025-11-01 02:00:05,CBE,Google Play
good,3,2025-10-31 19:18:08,CBE,Google Play
it is a good and clear apps to use,4,2025-10-31 13:16:33,CBE,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31 10:56:09,CBE,Google Play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30 08:17:03,CBE,Google Play
niiceh,5,2025-10-29 12:31:04,CBE,Google Play
the app is good but their is no dark mode you have to add it,3,2025-10-29 09:27:20,CBE,Google Play
🤮,1,2025-10-28 21:23:57,CBE,Google Play
abdulakim abrahim elemoo,5,2025-10-28 16:11:46,CBE,Google Play
good app,5,2025-10-28 10:51:27,CBE,Google Play
strong,5,2025-10-28 09:48:06,CBE,Google Play
good,5,2025-10-28 09:00:09,CBE,Google Play
best,5,2025-10-28 06:52:18,CBE,Google Play
Abebaw Zenebe,5,2025-10-28 00:10:07,CBE,Google Play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27 09:17:26,CBE,Google Play
good,5,2025-10-27 08:23:41,CBE,Google Play
Cbe,5,2025-10-27 05:56:57,CBE,Google Play
Active and granted system,5,2025-10-27 03:06:05,CBE,Google Play
fast app,4,2025-10-26 15:29:51,CBE,Google Play
cool 😎,5,2025-10-26 15:01:39,CBE,Google Play
Galaxy A10s,3,2025-10-26 13:09:04,CBE,Google Play
the best apps,5,2025-10-26 09:52:13,CBE,Google Play
arif app new,5,2025-10-26 03:08:10,CBE,Google Play
laga Bari biranch,5,2025-10-25 22:50:04,CBE,Google Play
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-25 17:22:43,CBE,Google Play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25 10:33:25,CBE,Google Play
Attractive,5,2025-10-25 09:23:40,CBE,Google Play
mite,5,2025-10-24 00:40:24,CBE,Google Play
useful,5,2025-10-23 19:47:45,CBE,Google Play
nice,4,2025-10-23 12:56:46,CBE,Google Play
"not good, not bad!",3,2025-10-23 06:14:35,CBE,Google Play
very good,5,2025-10-23 02:22:16,CBE,Google Play
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22 13:17:05,CBE,Google Play
good job,5,2025-10-22 08:14:01,CBE,Google Play
imp,5,2025-10-22 06:26:43,CBE,Google Play
super fast app,5,2025-10-21 03:00:15,CBE,Google Play
good app,4,2025-10-20 06:35:13,CBE,Google Play
useful,5,2025-10-20 02:58:47,CBE,Google Play
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-18 23:00:38,CBE,Google Play
cbe,4,2025-10-18 11:26:05,CBE,Google Play
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18 01:14:14,CBE,Google Play
blah blah blah,5,2025-10-17 21:41:44,CBE,Google Play
good,5,2025-10-17 13:35:07,CBE,Google Play
bad ግዴታ መሆንሁ,1,2025-10-17 09:18:53,CBE,Google Play
best,5,2025-10-17 07:30:33,CBE,Google Play
CBE no.1,5,2025-10-17 03:25:31,CBE,Google Play
good,5,2025-10-17 01:07:30,CBE,Google Play
good,5,2025-10-16 11:41:20,CBE,Google Play
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16 11:14:45,CBE,Google Play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16 09:22:14,CBE,Google Play
gooof,5,2025-10-16 03:06:06,CBE,Google Play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16 00:32:51,CBE,Google Play
Best app,5,2025-10-15 16:53:58,CBE,Google Play
best,5,2025-10-15 05:02:58,CBE,Google Play
still not perfect like before,1,2025-10-15 02:01:57,CBE,Google Play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15 01:21:58,CBE,Google Play
APPLIED,1,2025-10-14 12:32:49,CBE,Google Play
10 years ago,4,2025-10-14 11:49:01,CBE,Google Play
Asefa Obsa,5,2025-10-14 11:28:42,CBE,Google Play
best app,4,2025-10-14 09:59:48,CBE,Google Play
it's good app,5,2025-10-14 05:33:12,CBE,Google Play
very slow,1,2025-10-14 03:26:08,CBE,Google Play
berhan deriba wami,4,2025-10-13 20:31:12,CBE,Google Play
good,5,2025-10-13 11:12:28,CBE,Google Play
mahamad Usman,5,2025-10-13 10:01:41,CBE,Google Play
Erako,5,2025-10-13 09:57:56,CBE,Google Play
🔥🔥🔥🔥🔥,5,2025-10-13 03:54:22,CBE,Google Play
opne,5,2025-10-13 01:59:14,CBE,Google Play
mehommd nuri,5,2025-10-13 01:03:33,CBE,Google Play
Best,5,2025-10-12 08:39:13,CBE,Google Play
good,5,2025-10-12 08:11:23,CBE,Google Play
providing very secure service.,5,2025-10-12 07:05:44,CBE,Google Play
good,5,2025-10-12 06:12:10,CBE,Google Play
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12 04:05:40,CBE,Google Play
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12 03:49:52,CBE,Google Play
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12 03:27:05,CBE,Google Play
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11 15:23:36,CBE,Google Play
Mamma Husen,2,2025-10-11 06:36:31,CBE,Google Play
ok,5,2025-10-10 23:25:05,CBE,Google Play
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-10 22:21:33,CBE,Google Play
good,5,2025-10-10 08:43:47,CBE,Google Play
exceptional application from others bank,5,2025-10-10 05:58:07,CBE,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10 04:57:42,CBE,Google Play
good👍👍👍😊😊😊,5,2025-10-10 04:32:58,CBE,Google Play
really good app,5,2025-10-10 01:34:19,CBE,Google Play
smart bank CBE,5,2025-10-10 01:33:09,CBE,Google Play
Ali urgesa11,3,2025-10-09 13:22:32,CBE,Google Play
it's good,5,2025-10-09 11:25:30,CBE,Google Play
Good apps,5,2025-10-09 09:54:29,CBE,Google Play
good,5,2025-10-09 09:13:00,CBE,Google Play
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09 05:36:11,CBE,Google Play
good,5,2025-10-09 04:05:57,CBE,Google Play
best app i ever seen,5,2025-10-09 01:38:55,CBE,Google Play
it's game changing in financial system,4,2025-10-08 22:15:15,CBE,Google Play
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-08 22:00:33,CBE,Google Play
will good updating,5,2025-10-08 15:46:00,CBE,Google Play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08 11:21:01,CBE,Google Play
why removing screenshot feature why?,2,2025-10-08 09:59:39,CBE,Google Play
very good application! thank you all who participate!,5,2025-10-08 09:51:04,CBE,Google Play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08 05:17:22,CBE,Google Play
user compatible app!,5,2025-10-08 03:10:08,CBE,Google Play
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07 08:02:25,CBE,Google Play
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-06 23:40:21,CBE,Google Play
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06 08:28:54,CBE,Google Play
Asledin Ibsa,5,2025-10-06 04:22:58,CBE,Google Play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05 09:50:12,CBE,Google Play
my bank,5,2025-10-05 05:13:11,CBE,Google Play
